none,phi4_ab1p_tpusg_batch,0,2696,55.62,7eff_tpu_sketch_generator,,0,644,success,0.0,3340,7eff6e83,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4354,90.12,5cc0_tpu_sketch_generator,,0,805,failure,0.0,5159,5cc0d0d2,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4180,86.13,3f4a_tpu_sketch_generator,,0,805,failure,0.0,4985,3f4a7455,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2282,46.92,cb4e_tpu_sketch_generator,,0,483,success,0.0,2765,cb4eefb5,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3868,79.7,f74b_tpu_sketch_generator,,0,805,failure,0.0,4673,f74bd75e,tpusg,phi4-ab1
36c2_sketch_generator,,0,2140,failure,0.0,6606,36c26d1b,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,5248,110.06,9ad3_sketch_generator,,0,2045,failure,0.0,7293,9ad37ed7,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4821,100.66,6e43_sketch_generator,,0,1745,failure,0.0,6566,6e43fd91,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4798,99.43,2561_sketch_generator,,0,1955,failure,0.0,6753,2561a8d9,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4644,88.63,89d3_sketch_generator,,0,1760,failure,0.0,6404,89d376e5,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4904,93.25,fb49_sketch_generator,,0,1780,failure,0.0,6684,fb4974dc,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4743,89.75,a499_sketch_generator,,0,1650,failure,0.0,6393,a4998881,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4695,89.03,4033_sketch_generator,,0,1840,failure,0.0,6535,4033395c,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4344,83.15,68b8_sketch_generator,,0,2000,failure,0.0,6344,68b8f1a3,sg,phi4-ab1
none,phi4_ab1p_sg_batch,0,4964,94.03,3e76_sketch_generator,,0,1860,failure,0.0,6824,3e76828b,sg,phi4-ab1
