trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
151c23e1,phi4_85a9_psg,failure,85.21,13746,9790,3956,F,psg,phi4,151c_pysg,NP,7.3,phi4_psg_NP
f72b2529,phi4_85a9_psg,success,73.14,11184,7742,3442,F,psg,phi4,f72b_pysg,NP,7.3,phi4_psg_NP
0f23a588,phi4_85a9_psg,success,88.45,13694,9570,4124,F,psg,phi4,0f23_pysg,NP,7.3,phi4_psg_NP
e043c086,phi4_85a9_psg,success,91.5,14073,9790,4283,F,psg,phi4,e043_pysg,NP,7.3,phi4_psg_NP
93c476c4,phi4_85a9_psg,failure,83.33,13661,9790,3871,F,psg,phi4,93c4_pysg,NP,7.3,phi4_psg_NP
f27c4644,phi4_85a9_psg,success,49.43,7993,5694,2299,F,psg,phi4,f27c_pysg,NP,7.3,phi4_psg_NP
a0cf0eef,phi4_85a9_psg,success,68.24,10932,7742,3190,F,psg,phi4,a0cf_pysg,NP,7.3,phi4_psg_NP
8bd43a52,phi4_85a9_psg,failure,98.59,14447,9790,4657,F,psg,phi4,8bd4_pysg,NP,7.3,phi4_psg_NP
455ffdb4,phi4_85a9_psg,failure,94.16,14199,9790,4409,F,psg,phi4,455f_pysg,NP,7.3,phi4_psg_NP
1b55cd0f,phi4_85a9_psg,success,14.7,2287,1598,689,F,psg,phi4,1b55_pysg,NP,7.3,phi4_psg_NP
3286ec0d,phi4_85a9_psg,failure,85.51,13751,9790,3961,F,psg,phi4,3286_pysg,NP,7.3,phi4_psg_NP
e79675f6,phi4_85a9_psg,success,16.6,2371,1598,773,F,psg,phi4,e796_pysg,NP,7.3,phi4_psg_NP
ca7fa1f6,phi4_85a9_psg,failure,89.58,13954,9790,4164,F,psg,phi4,ca7f_pysg,NP,7.3,phi4_psg_NP
303e503c,phi4_85a9_psg,failure,79.14,13466,9790,3676,F,psg,phi4,303e_pysg,NP,7.3,phi4_psg_NP
7a05fb0d,phi4_85a9_psg,success,68.06,10898,7742,3156,F,psg,phi4,7a05_pysg,NP,7.3,phi4_psg_NP
1429962f,phi4_85a9_psg,failure,89.19,13844,9790,4054,F,psg,phi4,1429_pysg,NP,7.3,phi4_psg_NP
3169519b,phi4_85a9_psg,success,15.45,2296,1598,698,F,psg,phi4,3169_pysg,NP,7.3,phi4_psg_NP
8c806a7e,phi4_85a9_psg,success,89.95,13841,9790,4051,F,psg,phi4,8c80_pysg,NP,7.3,phi4_psg_NP
f6107d7c,phi4_85a9_psg,failure,102.67,14467,9790,4677,F,psg,phi4,f610_pysg,NP,7.3,phi4_psg_NP
c8023795,phi4_85a9_psg,success,40.32,5492,3646,1846,F,psg,phi4,c802_pysg,NP,7.3,phi4_psg_NP
3d702eb0,phi4_85a9_psg,failure,94.93,14084,9790,4294,F,psg,phi4,3d70_pysg,NP,7.3,phi4_psg_NP
d54479fd,phi4_85a9_tpusg,success,55.6,5871,3854,2017,F,tpusg,phi4,d544_tpusg,NP,7.3,phi4_tpusg_NP
392aed53,phi4_85a9_tpusg,success,66.82,9098,5902,3196,F,tpusg,phi4,392a_tpusg,NP,7.3,phi4_tpusg_NP
a2023b4a,phi4_85a9_tpusg,success,23.23,2906,1806,1100,F,tpusg,phi4,a202_tpusg,NP,7.3,phi4_tpusg_NP
0f126758,phi4_85a9_tpusg,success,39.15,5702,3854,1848,F,tpusg,phi4,0f12_tpusg,NP,7.3,phi4_tpusg_NP
0b55a27f,phi4_85a9_tpusg,success,20.07,2747,1806,941,F,tpusg,phi4,0b55_tpusg,NP,7.3,phi4_tpusg_NP
374ddc39,phi4_85a9_tpusg,success,17.4,2604,1806,798,F,tpusg,phi4,374d_tpusg,NP,7.3,phi4_tpusg_NP
3fb10dcd,phi4_85a9_tpusg,success,18.27,2649,1806,843,F,tpusg,phi4,3fb1_tpusg,NP,7.3,phi4_tpusg_NP
e016b5e7,phi4_85a9_tpusg,success,19.09,2689,1806,883,F,tpusg,phi4,e016_tpusg,NP,7.3,phi4_tpusg_NP
7bf9ea7f,phi4_85a9_tpusg,success,16.08,2525,1806,719,F,tpusg,phi4,7bf9_tpusg,NP,7.3,phi4_tpusg_NP
fbfbb01b,phi4_85a9_tpusg,success,45.14,5824,3854,1970,F,tpusg,phi4,fbfb_tpusg,NP,7.3,phi4_tpusg_NP
449008df,phi4_85a9_tpusg,success,25.98,2844,1806,1038,F,tpusg,phi4,4490_tpusg,NP,7.3,phi4_tpusg_NP
8e0162a7,phi4_85a9_tpusg,success,26.13,2992,1806,1186,F,tpusg,phi4,8e01_tpusg,NP,7.3,phi4_tpusg_NP
058689f5,phi4_85a9_tpusg,success,97.05,12308,7875,4433,F,tpusg,phi4,0586_tpusg,NP,7.3,phi4_tpusg_NP
6b400442,phi4_85a9_tpusg,success,20.59,2744,1806,938,F,tpusg,phi4,6b40_tpusg,NP,7.3,phi4_tpusg_NP
2fa09e93,phi4_85a9_tpusg,success,63.79,8829,5902,2927,F,tpusg,phi4,2fa0_tpusg,NP,7.3,phi4_tpusg_NP
95834f79,phi4_85a9_tpusg,success,45.38,5951,3854,2097,F,tpusg,phi4,9583_tpusg,NP,7.3,phi4_tpusg_NP
585da405,phi4_85a9_tpusg,success,39.02,5684,3854,1830,F,tpusg,phi4,585d_tpusg,NP,7.3,phi4_tpusg_NP
dd530656,phi4_85a9_tpusg,success,21.97,2850,1806,1044,F,tpusg,phi4,dd53_tpusg,NP,7.3,phi4_tpusg_NP
51992109,phi4_85a9_tpusg,success,20.73,2778,1806,972,F,tpusg,phi4,5199_tpusg,NP,7.3,phi4_tpusg_NP
bd5ca91c,phi4_85a9_tpusg,success,19.72,2732,1806,926,F,tpusg,phi4,bd5c_tpusg,NP,7.3,phi4_tpusg_NP
496c264a,phi4_85a9_tpusg,success,21.77,2825,1806,1019,F,tpusg,phi4,496c_tpusg,NP,7.3,phi4_tpusg_NP
63aeb14a,phi4_85a9_tpusg,success,20.74,2782,1806,976,F,tpusg,phi4,63ae_tpusg,NP,7.3,phi4_tpusg_NP
9baefe3b,phi4_85a9_tpusg,success,16.46,2563,1806,757,F,tpusg,phi4,9bae_tpusg,NP,7.3,phi4_tpusg_NP
368c0d11,phi4_85a9_tpusg,success,43.15,5884,3854,2030,F,tpusg,phi4,368c_tpusg,NP,7.3,phi4_tpusg_NP
d92bae51,phi4_85a9_tpusg,success,19.72,2735,1806,929,F,tpusg,phi4,d92b_tpusg,NP,7.3,phi4_tpusg_NP
a7d40f6a,phi4_85a9_tpusg,success,46.5,6076,3854,2222,F,tpusg,phi4,a7d4_tpusg,NP,7.3,phi4_tpusg_NP
cf6ff531,phi4_85a9_tpusg,success,38.44,5655,3854,1801,F,tpusg,phi4,cf6f_tpusg,NP,7.3,phi4_tpusg_NP
cd1e42b6,phi4_85a9_tpusg,success,20.18,2751,1806,945,F,tpusg,phi4,cd1e_tpusg,NP,7.3,phi4_tpusg_NP
4b0689be,phi4_85a9_tpusg,success,19.78,2735,1806,929,F,tpusg,phi4,4b06_tpusg,NP,7.3,phi4_tpusg_NP
7813eda3,phi4_85a9_tpusg,success,17.29,2611,1806,805,F,tpusg,phi4,7813_tpusg,NP,7.3,phi4_tpusg_NP
