name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
bdb2_tpu_sketch_generator,bdb2b676,phi4_4792_tpusg_batch,success,120.61,6148,4523,1625,0.0,0,0,F,tpusg,phi4,2
5799_tpu_sketch_generator,57992439,phi4_4792_tpusg_batch,success,155.2,6763,4699,2064,0.0,0,0,F,tpusg,phi4,2
191c_tpu_sketch_generator,191c8e22,phi4_4792_tpusg_batch,success,62.86,2602,1751,851,0.0,0,0,F,tpusg,phi4,1
69b7_tpu_sketch_generator,69b7d7b4,phi4_4792_tpusg_batch,success,59.53,2593,1751,842,0.0,0,0,F,tpusg,phi4,1
a2fa_tpu_sketch_generator,a2fad11b,phi4_4792_tpusg_batch,success,150.77,6701,4662,2039,0.0,0,0,F,tpusg,phi4,2
176b_tpu_sketch_generator,176b7a7e,phi4_4792_tpusg_batch,success,131.21,6255,4517,1738,0.0,0,0,F,tpusg,phi4,2
782e_tpu_sketch_generator,782ec04a,phi4_4792_tpusg_batch,success,68.38,2681,1751,930,0.0,0,0,F,tpusg,phi4,1
1a63_data_processor,1a630cee,qw32_c393_dp_batch,success,488.4,14612,11867,2745,0.0,0,0,F,dp,qw32,9
cea1_data_processor,cea1dde8,qw32_c393_dp_batch,failure,551.62,18967,15832,3135,0.0,0,0,F,dp,qw32,10
d3b4_data_processor,d3b4aa73,qw32_c393_dp_batch,success,582.84,16985,13611,3374,0.0,0,0,F,dp,qw32,10
166e_data_processor,166efc14,qw32_c393_dp_batch,success,609.17,21290,17840,3450,0.0,0,0,F,dp,qw32,12
af7f_data_processor,af7fc52c,qw32_c393_dp_batch,success,464.31,16170,13533,2637,0.0,0,0,F,dp,qw32,10
b76c_data_processor,b76c7822,qw32_c393_dp_batch,success,432.76,14078,11593,2485,0.0,0,0,F,dp,qw32,9
8760_data_processor,8760c534,qw32_c393_dp_batch,success,379.2,13712,11562,2150,0.0,0,0,F,dp,qw32,9
e80d_data_processor,e80d60c9,qw32_c393_dp_batch,success,430.91,14170,11701,2469,0.0,0,0,F,dp,qw32,9
4351_data_processor,43517934,qw32_c393_dp_batch,success,369.81,13635,11542,2093,0.0,0,0,F,dp,qw32,9
d999_data_processor,d999ce70,qw32_c393_dp_batch,success,355.25,13360,11354,2006,0.0,0,0,F,dp,qw32,9
85e8_data_processor,85e83421,qw32_c393_dp_batch,success,591.51,19403,16029,3374,0.0,0,0,F,dp,qw32,11
