metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
total_tokens,psg,PyCPU-SG,gpt-5,G5,original,Prompt Original,failure,2,65422.0,65422.0,65422.0,65422.0,65422.0,65422.0,0.0,65422.0,65422.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-l1,Prompt L1,success,30,829.0,2281.0,2784.0,3444.0,4519.0,2860.133333333333,1163.0,829.0,4519.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-l1,Prompt L1,failure,30,3927.0,4211.75,4395.0,4449.25,4847.0,4366.933333333333,237.5,3927.0,4599.0,2
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-l2,Prompt L2,success,56,1160.0,2529.5,2818.5,4256.0,6118.0,3209.6071428571427,1726.5,1160.0,6118.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-l2,Prompt L2,failure,4,7366.0,7366.0,7499.0,7632.0,7632.0,7499.0,266.0,7366.0,7632.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,original,Prompt Original,success,36,2233.0,2357.0,8429.5,11309.0,14073.0,7961.0,8952.0,2233.0,14073.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,original,Prompt Original,failure,24,13466.0,13672.75,13797.5,14112.75,14467.0,13913.666666666666,440.0,13466.0,14467.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,4758.0,4843.0,4851.0,4858.0,4881.0,4848.7,15.0,4828.0,4863.0,2
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,success,11,3984.0,4088.5,5599.0,7038.5,7152.0,5571.727272727273,2950.0,3984.0,7152.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,failure,19,6846.0,6974.5,7052.0,7094.0,7221.0,7033.105263157895,119.5,6846.0,7221.0,0
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,success,48,865.0,905.75,1863.0,2850.75,4434.0,2064.9583333333335,1945.0,865.0,4434.0,0
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,failure,12,4356.0,4365.0,4426.5,4470.0,4472.0,4419.333333333333,105.0,4356.0,4472.0,0
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,success,50,1243.0,2746.0,2875.0,3039.0,5923.0,3091.4,293.0,2648.0,3277.0,16
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,failure,10,7492.0,7635.0,7926.0,8010.0,8286.0,7869.8,375.0,7492.0,8286.0,0
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,original,Prompt Original,success,36,2243.0,2287.0,2392.5,8652.0,14106.0,5836.222222222223,6365.0,2243.0,14106.0,0
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,original,Prompt Original,failure,24,13977.0,14063.25,14229.0,14384.75,14789.0,14248.916666666666,321.5,13977.0,14789.0,0
