metric,processor,processor_label,model,model_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,dp,DP,codestral,Co22B,success,11,56.62,86.225,98.09,108.33500000000001,123.76,96.71545454545456,22.110000000000014,56.62,123.76,0
latency,dp,DP,codestral,Co22B,failure,19,27.48,88.35,100.55,108.88,124.71,95.97263157894737,20.53,66.26,124.71,1
latency,dp,DP,gpt-4o,G4o,success,34,32.579207692596434,37.40237024040222,40.08438598570251,45.79094814808654,155.92570077206423,45.25949605261051,8.388577907684322,32.579207692596434,52.98887287814331,2
latency,dp,DP,gpt-4o,G4o,failure,6,50.36,59.877350513580325,67.82581570384215,76.87,99.73810345849608,70.47705418028768,16.99264948641968,50.36,99.73810345849608,0
latency,dp,DP,gpt-4o-mini,G4o-m,success,18,63.56793870516968,74.89893828343199,85.82234329818725,101.75723040657044,149.0391780149231,91.02824251400077,26.858292123138455,63.56793870516968,129.09543573846435,1
latency,dp,DP,gpt-4o-mini,G4o-m,failure,2,60.04380911651611,76.60508596033478,93.16636280415345,109.72763964797213,126.2889164917908,93.16636280415345,33.12255368763735,60.04380911651611,126.2889164917908,0
latency,dp,DP,phi4,Phi4,success,15,32.06,35.705,36.88,39.285,63.26,39.02733333333333,3.5799999999999983,32.06,43.52,1
latency,dp,DP,phi4,Phi4,failure,15,32.09,49.31,57.61,61.7,98.57,56.906,12.39,32.09,69.41,1
latency,dp,DP,codestral-p,Co22B-p,success,18,54.14,54.74,65.65,79.5375,99.43,68.435,24.797499999999992,54.14,99.43,0
latency,dp,DP,codestral-p,Co22B-p,failure,12,77.07,90.5175,104.78999999999999,115.4425,132.89,103.08416666666666,24.924999999999997,77.07,132.89,0
latency,dp,DP,qwen14,Qw14B,success,9,36.6,39.38,41.48,41.88,138.04,51.36,2.5,36.6,41.88,2
latency,dp,DP,qwen14,Qw14B,failure,21,26.02,45.39,48.79,62.99,89.56,52.92809523809525,17.6,26.02,75.37,1
latency,dp,DP,qwen32,Qw32B,success,22,91.4,104.10000000000001,110.745,119.27499999999999,210.98,117.41000000000003,15.174999999999983,91.4,125.37,2
latency,dp,DP,qwen32,Qw32B,failure,8,97.34,121.46000000000001,138.945,161.89,176.81,140.10250000000002,40.42999999999998,97.34,176.81,0
total_tokens,sg,ArdSG,codestral,Co22B,failure,30,15988.0,19220.0,19735.0,20676.5,27466.0,20531.066666666666,1456.5,17980.0,22602.0,6
total_tokens,sg,ArdSG,gpt-4o,G4o,success,11,1840.0,9431.5,12326.0,13732.5,15406.0,11131.90909090909,4301.0,7254.0,15406.0,1
total_tokens,sg,ArdSG,gpt-4o,G4o,failure,29,11661.0,13976.0,15570.0,21719.0,25940.0,17016.068965517243,7743.0,11661.0,25940.0,0
total_tokens,sg,ArdSG,gpt-4o-mini,G4o-m,success,2,5172.0,5192.5,5213.0,5233.5,5254.0,5213.0,41.0,5172.0,5254.0,0
total_tokens,sg,ArdSG,gpt-4o-mini,G4o-m,failure,18,17770.0,29558.0,30440.0,31082.0,33098.0,29872.333333333332,1524.0,29256.0,33098.0,1
total_tokens,sg,ArdSG,phi4,Phi4,success,1,6830.0,6830.0,6830.0,6830.0,6830.0,6830.0,0.0,6830.0,6830.0,0
total_tokens,sg,ArdSG,phi4,Phi4,failure,29,15629.0,16107.0,16355.0,17097.0,20328.0,16726.862068965518,990.0,15629.0,18529.0,1
total_tokens,sg,ArdSG,codestral-p,Co22B-p,success,1,12558.0,12558.0,12558.0,12558.0,12558.0,12558.0,0.0,12558.0,12558.0,0
total_tokens,sg,ArdSG,codestral-p,Co22B-p,failure,29,17459.0,17566.0,17690.0,18255.0,22868.0,18054.344827586207,689.0,17459.0,18595.0,1
total_tokens,sg,ArdSG,qwen14,Qw14B,failure,30,16050.0,17097.0,17470.0,17831.25,18556.0,17485.666666666668,734.25,16050.0,18556.0,0
total_tokens,sg,ArdSG,qwen32,Qw32B,failure,30,17129.0,17447.75,17550.5,17714.5,18085.0,17569.233333333334,266.75,17129.0,18085.0,0
total_tokens,mc,MC,codestral,Co22B,success,16,939.0,3160.25,4627.0,7103.0,9818.0,5134.8125,3942.75,939.0,9818.0,0
total_tokens,mc,MC,codestral,Co22B,failure,14,7432.0,7974.75,8084.5,8549.0,9520.0,8300.785714285714,574.25,7432.0,9259.0,1
total_tokens,mc,MC,gpt-4o,G4o,success,39,545.0,564.5,587.0,609.5,4248.0,1081.051282051282,45.0,545.0,646.0,7
total_tokens,mc,MC,gpt-4o,G4o,failure,1,7290.0,7290.0,7290.0,7290.0,7290.0,7290.0,0.0,7290.0,7290.0,0
total_tokens,mc,MC,gpt-4o-mini,G4o-m,success,15,519.0,2585.0,3854.0,5139.5,11228.0,4413.933333333333,2554.5,519.0,6328.0,3
total_tokens,mc,MC,gpt-4o-mini,G4o-m,failure,5,9068.0,9322.0,9487.0,9981.0,12801.0,10131.8,659.0,9068.0,9981.0,1
total_tokens,mc,MC,phi4,Phi4,success,29,674.0,717.0,758.0,2930.0,6653.0,1922.9310344827586,2213.0,674.0,4878.0,1
total_tokens,mc,MC,phi4,Phi4,failure,1,8731.0,8731.0,8731.0,8731.0,8731.0,8731.0,0.0,8731.0,8731.0,0
total_tokens,mc,MC,codestral-p,Co22B-p,success,24,5799.0,5831.5,5870.5,5891.0,7827.0,5983.75,59.5,5799.0,5909.0,2
total_tokens,mc,MC,codestral-p,Co22B-p,failure,6,7716.0,7965.5,7993.0,8046.75,8067.0,7965.0,81.25,7962.0,8067.0,1
total_tokens,mc,MC,qwen14,Qw14B,success,17,2420.0,2919.0,3090.0,6377.0,8468.0,4462.235294117647,3458.0,2420.0,8468.0,0
total_tokens,mc,MC,qwen14,Qw14B,failure,13,5425.0,8093.0,8309.0,8625.0,9488.0,8257.384615384615,532.0,7839.0,9078.0,2
total_tokens,mc,MC,qwen32,Qw32B,success,25,730.0,797.0,6701.0,7084.0,9829.0,5020.16,6287.0,730.0,9829.0,0
total_tokens,mc,MC,qwen32,Qw32B,failure,5,7823.0,9719.0,9769.0,9850.0,9890.0,9410.2,131.0,9719.0,9890.0,1
total_tokens,dp,DP,codestral,Co22B,success,11,14395.0,20024.5,20506.0,26078.0,34219.0,23105.454545454544,6053.5,14395.0,34219.0,0
total_tokens,dp,DP,codestral,Co22B,failure,19,8177.0,19483.5,24499.0,27113.0,32410.0,23320.684210526317,7629.5,8177.0,32410.0,0
total_tokens,dp,DP,gpt-4o,G4o,success,34,8560.0,9148.0,9507.5,11689.5,19544.0,10567.323529411764,2541.5,8560.0,14785.0,1
total_tokens,dp,DP,gpt-4o,G4o,failure,6,16783.0,18094.5,19247.0,20393.5,25086.0,19808.166666666668,2299.0,16783.0,20403.0,1
total_tokens,dp,DP,gpt-4o-mini,G4o-m,success,18,17390.0,18560.5,19069.0,21652.5,36578.0,21023.777777777777,3092.0,17390.0,23230.0,3
total_tokens,dp,DP,gpt-4o-mini,G4o-m,failure,2,20526.0,24124.5,27723.0,31321.5,34920.0,27723.0,7197.0,20526.0,34920.0,0
total_tokens,dp,DP,phi4,Phi4,success,15,11309.0,11476.0,12323.0,13498.0,16860.0,12867.533333333333,2022.0,11309.0,15071.0,1
total_tokens,dp,DP,phi4,Phi4,failure,15,11404.0,15329.5,17963.0,18482.0,28556.0,17573.866666666665,3152.5,11404.0,20112.0,1
total_tokens,dp,DP,codestral-p,Co22B-p,success,18,14161.0,14435.0,14893.0,19362.25,23600.0,16980.555555555555,4927.25,14161.0,23600.0,0
total_tokens,dp,DP,codestral-p,Co22B-p,failure,12,18163.0,24308.75,27294.0,28968.75,30187.0,25900.833333333332,4660.0,18163.0,30187.0,0
total_tokens,dp,DP,qwen14,Qw14B,success,9,12296.0,12479.0,12633.0,13751.0,27965.0,14582.444444444445,1272.0,12296.0,14108.0,1
total_tokens,dp,DP,qwen14,Qw14B,failure,21,12076.0,14780.0,16846.0,21269.0,26533.0,17935.428571428572,6489.0,12076.0,26533.0,0
total_tokens,dp,DP,qwen32,Qw32B,success,22,13432.0,13903.25,14151.5,15659.0,25744.0,15415.454545454546,1755.75,13432.0,16475.0,2
total_tokens,dp,DP,qwen32,Qw32B,failure,8,16117.0,16280.5,18762.5,20100.75,21668.0,18553.375,3820.25,16117.0,21668.0,0
