metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
total_tokens,psg,PySG-CPU,qwen32,Qw32B,abla-l1,Prompt L1,success,24,865.0,905.75,1863.0,2850.75,4434.0,2064.9583333333335,1945.0,865.0,4434.0,0
total_tokens,psg,PySG-CPU,qwen32,Qw32B,abla-l1,Prompt L1,failure,6,4356.0,4377.0,4426.5,4462.5,4472.0,4419.333333333333,85.5,4356.0,4472.0,0
total_tokens,psg,PySG-CPU,qwen32,Qw32B,abla-l2,Prompt L2,success,25,1243.0,2746.0,2875.0,3039.0,5923.0,3091.4,293.0,2648.0,3277.0,8
total_tokens,psg,PySG-CPU,qwen32,Qw32B,abla-l2,Prompt L2,failure,5,7492.0,7635.0,7926.0,8010.0,8286.0,7869.8,375.0,7492.0,8286.0,0
total_tokens,psg,PySG-CPU,qwen32,Qw32B,original,Prompt Original,success,18,2243.0,2290.5,2392.5,8640.25,14106.0,5836.222222222223,6349.75,2243.0,14106.0,0
total_tokens,psg,PySG-CPU,qwen32,Qw32B,original,Prompt Original,failure,12,13977.0,14063.25,14229.0,14384.75,14789.0,14248.916666666666,321.5,13977.0,14789.0,0
total_tokens,tpusg,PySG-TPU,gpt-5,G5,abla-l1,Prompt L1,success,30,5819.0,6945.25,7688.5,8316.25,20886.0,8593.233333333334,1371.0,5819.0,9782.0,3
total_tokens,tpusg,PySG-TPU,gpt-5,G5,abla-l2,Prompt L2,success,30,5122.0,6656.0,7890.0,9392.0,20929.0,8829.066666666668,2736.0,5122.0,10278.0,4
total_tokens,tpusg,PySG-TPU,gpt-5,G5,original,Prompt Original,success,27,8212.0,8810.0,9417.0,10402.5,40813.0,11095.555555555555,1592.5,8212.0,11268.0,2
total_tokens,tpusg,PySG-TPU,gpt-5,G5,original,Prompt Original,failure,3,47849.0,48006.5,48164.0,51693.0,55222.0,50411.666666666664,3686.5,47849.0,55222.0,0
total_tokens,tpusg,PySG-TPU,phi4,Phi4,abla-l1,Prompt L1,success,12,976.0,1877.75,2865.5,3499.75,5125.0,2897.0,1622.0,976.0,5125.0,0
total_tokens,tpusg,PySG-TPU,phi4,Phi4,abla-l1,Prompt L1,failure,18,4112.0,4638.25,4736.5,4961.25,5236.0,4760.388888888889,323.0,4394.0,5236.0,1
total_tokens,tpusg,PySG-TPU,phi4,Phi4,abla-l2,Prompt L2,success,27,1327.0,2811.5,4342.0,5858.0,8232.0,4466.333333333333,3046.5,1327.0,8232.0,0
total_tokens,tpusg,PySG-TPU,phi4,Phi4,abla-l2,Prompt L2,failure,3,7443.0,7455.5,7468.0,7519.5,7571.0,7494.0,64.0,7443.0,7571.0,0
total_tokens,tpusg,PySG-TPU,phi4,Phi4,original,Prompt Original,success,30,2525.0,2735.0,2834.5,5793.5,12308.0,4298.133333333333,3058.5,2525.0,9098.0,1
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,abla-l1,Prompt L1,success,24,797.0,1774.0,2554.5,3599.5,4737.0,2611.4583333333335,1825.5,797.0,4737.0,0
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,abla-l1,Prompt L1,failure,6,4213.0,4344.0,4518.0,4979.25,5281.0,4658.166666666667,635.25,4213.0,5281.0,0
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,abla-l2,Prompt L2,success,18,1446.0,2915.5,4378.0,4564.0,7966.0,4039.3888888888887,1648.5,1446.0,6381.0,1
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,abla-l2,Prompt L2,failure,12,7462.0,7725.0,7986.0,8237.5,8761.0,8030.666666666667,512.5,7462.0,8761.0,0
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,original,Prompt Original,success,30,2618.0,2636.5,2693.0,5808.5,14870.0,4823.9,3172.0,2618.0,9002.0,2
