name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,prompt_type
562e_sg,562eb797,qwen2.5-coder:32b_12d3_sg_batch,failure,172.35,16157,10099,6058,0.0,0,0,T,sg,qwen32,abla-2p
9cdb_sg,9cdb36c1,qwen2.5-coder:32b_12d3_sg_batch,failure,188.63,16765,10099,6666,0.0,0,0,T,sg,qwen32,abla-2p
8dbc_sg,8dbcaa38,qwen2.5-coder:32b_12d3_sg_batch,failure,173.27,16198,10099,6099,0.0,0,0,T,sg,qwen32,abla-2p
85f4_sg,85f4e3b3,qwen2.5-coder:32b_12d3_sg_batch,failure,163.79,15085,9306,5779,0.0,0,0,T,sg,qwen32,abla-2p
7451_sg,74518154,qwen2.5-coder:32b_12d3_sg_batch,failure,198.97,17152,10099,7053,0.0,0,0,T,sg,qwen32,abla-2p
2d69_tpusg,2d69fffb,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.71,4353,1747,2606,0.0,0,0,T,tpusg,qwen32,abla-2p
8552_tpusg,8552d540,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.5,4417,1746,2671,0.0,0,0,T,tpusg,qwen32,abla-2p
959c_tpusg,959cdf4e,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.49,4418,1745,2673,0.0,0,0,T,tpusg,qwen32,abla-2p
a8eb_tpusg,a8eb2a19,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.26,4407,1744,2663,0.0,0,0,T,tpusg,qwen32,abla-2p
d1b4_tpusg,d1b4a647,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.44,4421,1746,2675,0.0,0,0,T,tpusg,qwen32,abla-2p
2274_tpusg,2274e3a9,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.48,4380,1746,2634,0.0,0,0,T,tpusg,qwen32,abla-2p
2f1c_tpusg,2f1cd093,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.37,4413,1745,2668,0.0,0,0,T,tpusg,qwen32,abla-2p
1573_tpusg,1573ee73,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.61,4424,1747,2677,0.0,0,0,T,tpusg,qwen32,abla-2p
32c9_tpusg,32c98127,qwen2.5-coder:32b_12d3_tpusg_batch,success,73.32,4487,1746,2741,0.0,0,0,T,tpusg,qwen32,abla-2p
ed31_tpusg,ed3125e8,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.57,4423,1748,2675,0.0,0,0,T,tpusg,qwen32,abla-2p
7fa2_tpusg,7fa220a0,qwen2.5-coder:32b_12d3_tpusg_batch,success,73.41,4486,1746,2740,0.0,0,0,T,tpusg,qwen32,abla-2p
1e78_tpusg,1e788582,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.42,4418,1748,2670,0.0,0,0,T,tpusg,qwen32,abla-2p
c2ab_tpusg,c2ab0f07,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.54,4414,1746,2668,0.0,0,0,T,tpusg,qwen32,abla-2p
2ec0_tpusg,2ec0b787,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.75,4356,1748,2608,0.0,0,0,T,tpusg,qwen32,abla-2p
7fc5_tpusg,7fc5c442,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.08,4442,1747,2695,0.0,0,0,T,tpusg,qwen32,abla-2p
